,County,State,Population
0,Alabama,Alabama,4903185
1,Autauga,Alabama,55869
2,Baldwin,Alabama,223234
3,Barbour,Alabama,24686
4,Bibb,Alabama,22394
5,Blount,Alabama,57826
6,Bullock,Alabama,10101
7,Butler,Alabama,19448
8,Calhoun,Alabama,113605
9,Chambers,Alabama,33254
10,Cherokee,Alabama,26196
11,Chilton,Alabama,44428
12,Choctaw,Alabama,12589
13,Clarke,Alabama,23622
14,Clay County,Alabama,13235
15,Cleburne,Alabama,14910
16,Coffee,Alabama,52342
17,Colbert,Alabama,55241
18,Conecuh,Alabama,12067
19,Coos,Alabama,10663
20,Covington,Alabama,37049
21,Crenshaw,Alabama,13772
22,Cullman,Alabama,83768
23,Dale County,Alabama,49172
24,Dallas,Alabama,37196
25,DeKalb,Alabama,71513
26,Elmore,Alabama,81209
27,Escambia,Alabama,36633
28,Etowah,Alabama,102268
29,Fayette,Alabama,16302
30,Franklin,Alabama,31362
31,Geneva,Alabama,26271
32,Greene,Alabama,8111
33,Hale,Alabama,14651
34,Henry,Alabama,17205
35,Houston,Alabama,105882
36,Jack,Alabama,51626
37,Jefferson,Alabama,658573
38,Lamar,Alabama,13805
39,Lauderdale,Alabama,92729
40,Lawrence,Alabama,32924
41,Lee,Alabama,164542
42,Limestone,Alabama,98915
43,Lowndes,Alabama,9726
44,Macon,Alabama,18068
45,Madison County,Alabama,372909
46,Marengo,Alabama,18863
47,Marion,Alabama,29709
48,Hall,Alabama,96774
49,Mobile,Alabama,413210
50,Monroe,Alabama,20733
51,Montgomery,Alabama,226486
52,Morgan,Alabama,119679
53,Perry,Alabama,8923
54,Pickens,Alabama,19930
55,Pike,Alabama,33114
56,Randolph,Alabama,22722
57,Russell,Alabama,57961
58,St. Clair,Alabama,89512
59,Shelby,Alabama,217702
60,Sumter,Alabama,12427
61,Talladega,Alabama,79978
62,Tallapoosa,Alabama,40367
63,Tuscaloosa,Alabama,209355
64,Walker,Alabama,63521
65,Washington County,Alabama,16326
66,Wilcox,Alabama,10373
67,Winston,Alabama,23629
68,Alaska,Alaska,731545
69,Aleutians East Borough,Alaska,3337
70,Aleutians West Census Area,Alaska,5634
71,Anchorage,Alaska,288000
72,Bethel Census Area,Alaska,18386
73,Bristol Bay Borough,Alaska,836
74,Denali Borough,Alaska,2097
75,Dillingham Census Area,Alaska,4916
76,Fairbanks North Star Borough,Alaska,96849
77,Haines Borough,Alaska,2530
78,Hoonah-Angoon Census Area,Alaska,2148
79,Juneau City and Borough,Alaska,31974
80,Kenai Peninsula Borough,Alaska,58708
81,Ketchikan Gateway Borough,Alaska,13901
82,Kodiak Island Borough,Alaska,12998
83,Kusilvak Census Area,Alaska,8314
84,Lake and Peninsula Borough,Alaska,1592
85,Matanuska-Susitna Borough,Alaska,108317
86,Nome Census Area,Alaska,10004
87,North Slope Borough,Alaska,9832
88,Northwest Arctic Borough,Alaska,7621
89,Petersburg Borough,Alaska,3266
90,Prince of Wales-Hyder Census Area,Alaska,6203
91,Sitka City and Borough,Alaska,8493
92,Skagway Municipality,Alaska,1183
93,Southeast Fairbanks Census Area,Alaska,6893
94,Valdez-Cordova Census Area,Alaska,9202
95,Wrangell City and Borough,Alaska,2502
96,Yakutat City and Borough,Alaska,579
97,Yukon-Koyukuk Census Area,Alaska,5230
98,Arizona,Arizona,7278717
99,Apache,Arizona,71887
100,Cochise,Arizona,125922
101,Coconino,Arizona,143476
102,Gila,Arizona,54018
103,Graham,Arizona,38837
104,Greenlee,Arizona,9498
105,La Paz,Arizona,21108
106,Maricopa,Arizona,4485414
107,Mohave,Arizona,212181
108,Navajo,Arizona,110924
109,Pima,Arizona,1047279
110,Pinal,Arizona,462789
111,Santa Cruz,Arizona,46498
112,Yavapai,Arizona,235099
113,Yuma,Arizona,213787
114,Arkansas,Arkansas,3017804
115,Arkansas County,Arkansas,17486
116,Ashley,Arkansas,19657
117,Baxter,Arkansas,41932
118,Benton,Arkansas,279141
119,Boone,Arkansas,37432
120,Bradley,Arkansas,10763
121,Calhoun,Arkansas,5189
122,Carroll County,Arkansas,28380
123,Chicot,Arkansas,10118
124,Clark County,Arkansas,22320
125,Clay County,Arkansas,14551
126,Cleburne,Arkansas,24919
127,Cleveland,Arkansas,7956
128,Columbia,Arkansas,23457
129,Conway,Arkansas,20846
130,Craighead,Arkansas,110332
131,Crawford,Arkansas,63257
132,Crittenden,Arkansas,47955
133,Cross,Arkansas,16419
134,Dallas,Arkansas,7009
135,Desha,Arkansas,11361
136,Drew County,Arkansas,18219
137,Faulkner,Arkansas,126007
138,Franklin,Arkansas,17715
139,Fulton,Arkansas,12477
140,Garland,Arkansas,99386
141,Grant County,Arkansas,18265
142,Greene,Arkansas,45325
143,Hempstead,Arkansas,21532
144,Hot Spring,Arkansas,33771
145,Ward,Arkansas,13202
146,Independence,Arkansas,37825
147,Izard,Arkansas,13629
148,Jack,Arkansas,16719
149,Jefferson,Arkansas,66824
150,Johnson,Arkansas,26578
151,Lafayette County,Arkansas,6624
152,Lawrence,Arkansas,16406
153,Lee,Arkansas,8857
154,Lincoln County,Arkansas,13024
155,Little River,Arkansas,12259
156,Logan,Arkansas,21466
157,Lonoke,Arkansas,73309
158,Madison County,Arkansas,16576
159,Marion,Arkansas,16694
160,Miller,Arkansas,43257
161,Mississippi County,Arkansas,40651
162,Monroe,Arkansas,6701
163,Montgomery,Arkansas,8986
164,Nevada County,Arkansas,8252
165,Newton,Arkansas,7753
166,Ouachita,Arkansas,23382
167,Perry,Arkansas,10455
168,Phillips,Arkansas,17782
169,Pike,Arkansas,10718
170,Poinsett,Arkansas,23528
171,Polk,Arkansas,19964
172,Pope,Arkansas,64072
173,Prairie,Arkansas,8062
174,Pulaski,Arkansas,391911
175,Randolph,Arkansas,17958
176,St. Francis,Arkansas,24994
177,Saline,Arkansas,122437
178,Scott,Arkansas,10281
179,Searcy,Arkansas,7881
180,Sebastian,Arkansas,127827
181,Sevier,Arkansas,17007
182,Sharp,Arkansas,17442
183,Stone County,Arkansas,12506
184,Union County,Arkansas,38682
185,Van Buren,Arkansas,16545
186,Washington County,Arkansas,239187
187,White,Arkansas,78753
188,Woodruff,Arkansas,6320
189,Yell County,Arkansas,21341
190,California,California,39512223
191,Alameda,California,1671329
192,Alpine,California,1129
193,Amador,California,39752
194,Butte County,California,219186
195,Calaveras,California,45905
196,Colusa,California,21547
197,Contra Costa,California,1153526
198,Del Norte,California,27812
199,El Dorado,California,192843
200,Fresno,California,999101
201,Glenn,California,28393
202,Humboldt,California,135558
203,Imperial,California,181215
204,Inyo,California,18039
205,Kern,California,900202
206,Kings,California,152940
207,Lake County,California,64386
208,Lassen County,California,30573
209,Los Angeles,California,10039107
210,Madera,California,157327
211,Marin County,California,258826
212,Mariposa,California,17203
213,Mendocino,California,86749
214,Merced,California,277680
215,Modoc County,California,8841
216,Mono County,California,14444
217,Monterey,California,434061
218,Napa,California,137744
219,Nevada County,California,99755
220,Orange County,California,3175692
221,Placer,California,398329
222,Plumas,California,18807
223,Riverside,California,2470546
224,Sac,California,1552058
225,San Benito,California,62808
226,San Bernardino,California,2180085
227,San Diego,California,3338330
228,San Francisco,California,881549
229,San Joaquin,California,762148
230,San Luis Obispo,California,283111
231,San Mateo,California,766573
232,Santa Barbara,California,446499
233,Santa Clara,California,1927852
234,Santa Cruz,California,273213
235,Shasta,California,180080
236,Sierra,California,3005
237,Siskiyou,California,43539
238,Solano,California,447643
239,Sonoma,California,494336
240,Stanislaus,California,550660
241,Sutter,California,96971
242,Tehama,California,65084
243,Trinity,California,12285
244,Tulare,California,466195
245,Tuolumne,California,54478
246,Ventura,California,846006
247,Yolo,California,220500
248,Yuba,California,78668
249,Colorado,Colorado,5758736
250,Adams,Colorado,517421
251,Alamosa,Colorado,16233
252,Arapahoe,Colorado,656590
253,Archuleta,Colorado,14029
254,Baca County,Colorado,3581
255,Bent,Colorado,5577
256,Boulder,Colorado,326196
257,Broomfield,Colorado,70465
258,Chaffee,Colorado,20356
259,Cheyenne,Colorado,1831
260,Creek,Colorado,9700
261,Conejos,Colorado,8205
262,Costilla,Colorado,3887
263,Crowley,Colorado,6061
264,Custer,Colorado,5068
265,Delta,Colorado,31162
266,Denver,Colorado,727211
267,Dolores County,Colorado,2055
268,Douglas,Colorado,351154
269,Eagle,Colorado,55127
270,Elbert,Colorado,26729
271,El Paso,Colorado,720403
272,Fremont,Colorado,47839
273,Garfield,Colorado,60061
274,Gilpin,Colorado,6243
275,Grand County,Colorado,15734
276,Unknown,Colorado,17462
277,Hinsdale,Colorado,820
278,Huerfano,Colorado,6897
279,Jack,Colorado,1392
280,Jefferson,Colorado,582881
281,Kiowa,Colorado,1406
282,Kit Carson,Colorado,7097
283,Lake County,Colorado,8127
284,La Plata,Colorado,56221
285,Larimer,Colorado,356899
286,Las Animas,Colorado,14506
287,Lincoln County,Colorado,5701
288,Logan,Colorado,22409
289,Mesa,Colorado,154210
290,Mineral,Colorado,769
291,Moffat,Colorado,13283
292,Montezuma,Colorado,26183
293,Montrose,Colorado,42758
294,Morgan,Colorado,29068
295,Otero,Colorado,18278
296,Ouray,Colorado,4952
297,Park,Colorado,18845
298,Phillips,Colorado,4265
299,Pitkin,Colorado,17767
300,Prowers,Colorado,12172
301,Pueblo,Colorado,168424
302,Rio Blanco,Colorado,6324
303,Rio Grande,Colorado,11267
304,Routt,Colorado,25638
305,Saguache,Colorado,6824
306,San Juan,Colorado,728
307,San Miguel,Colorado,8179
308,Sedgwick,Colorado,2248
309,Summit,Colorado,31011
310,Teller,Colorado,25388
