,State,Population
0,Alabama,4903185.0
1,Alaska,731545.0
2,Arizona,7278717.0
3,Arkansas,3017804.0
4,California,39512223.0
5,Colorado,5758736.0
6,Connecticut,3565287.0
7,Delaware,973764.0
8,District of Columbia,705749.0
9,Florida,21477737.0
10,Georgia,10617423.0
11,Hawaii,1415872.0
12,Idaho,1787065.0
13,Illinois,12671821.0
14,Indiana,6732219.0
15,Iowa,3155070.0
16,Kansas,2913314.0
17,Kentucky,4467673.0
18,Louisiana,4648794.0
19,Maine,1344212.0
20,Maryland,6045680.0
21,Massachusetts,6892503.0
22,Michigan,9986857.0
23,Minnesota,5639632.0
24,Mississippi,2976149.0
25,Missouri,6137428.0
26,Montana,1068778.0
27,Nebraska,1934408.0
28,Nevada,3080156.0
29,New Hampshire,1359711.0
30,New Jersey,8882190.0
31,New Mexico,2096829.0
32,New York,19453561.0
33,North Carolina,10488084.0
34,North Dakota,762062.0
35,Ohio,11689100.0
36,Oklahoma,3956971.0
37,Oregon,4217737.0
38,Pennsylvania,12801989.0
39,Rhode Island,1059361.0
40,South Carolina,5148714.0
41,South Dakota,884659.0
42,Tennessee,6829174.0
43,Texas,28995881.0
44,Utah,3205958.0
45,Vermont,623989.0
46,Virginia,8535519.0
47,Washington,7614893.0
48,West Virginia,1792147.0
49,Wisconsin,5822434.0
50,Wyoming,578759.0
51,American Samoa,49437.0
52,Guam,168485.0
53,Northern Mariana Islands,51433.0
54,Puerto Rico,3189068.0
55,Virgin Islands,106235.0
